,venue,inning,Date,bat_team,bowl_team,batsmen,bowlers,run,batsman1,batsman2,bowler1,bowler2
427,18,2,2011,1,0,"['S Sohal', 'S Dhawan', 'B Chipli', 'KC Sangakkara', 'CL White', 'JP Duminy', 'DT Christian', 'A Mishra', 'I Sharma']","['JA Morkel', 'DE Bollinger', 'R Ashwin', 'S Randiv', 'SB Jakati']",69.0,111,113,72,55
428,32,1,2011,9,10,"['JD Ryder', 'MK Pandey', 'RV Uthappa', 'Yuvraj Singh', 'Harpreet Singh', 'M Manhas', 'NL McCullum', 'R Sharma']","['J Botha', 'AL Menaria', 'SR Watson', 'A Singh', 'SK Warne', 'SK Trivedi']",49.0,46,80,70,19
429,32,2,2011,10,9,"['SR Watson', 'R Dravid', 'J Botha', 'AL Menaria', 'LRPL Taylor', 'AM Rahane']","['M Kartik', 'AC Thomas', 'R Sharma', 'JE Taylor', 'Yuvraj Singh', 'NL McCullum']",39.0,122,98,97,14
430,40,1,2011,8,5,"['DJ Jacobs', 'SR Tendulkar', 'AT Rayudu', 'KA Pollard', 'RG Sharma', 'A Symonds']","['BA Bhatt', 'P Kumar', 'Bipul Sharma', 'RJ Harris', 'PP Chawla', 'PC Valthaty']",37.0,29,127,30,149
431,40,2,2011,5,8,"['PC Valthaty', 'AC Gilchrist', 'SE Marsh', 'DJ Hussey', 'KD Karthik', 'AM Nayar', 'Bipul Sharma', 'PP Chawla', 'RJ Harris', 'P Kumar']","['Harbhajan Singh', 'SL Malinga', 'AN Ahmed', 'MM Patel', 'TL Suman', 'KA Pollard', 'A Symonds']",26.0,89,3,62,184
432,9,1,2011,3,6,"['DA Warner', 'V Sehwag', 'NV Ojha', 'Y Nagar', 'Y Venugopal Rao', 'TR Birt', 'IK Pathan', 'RE van der Merwe']","['RP Singh', 'S Sreesanth', 'P Parameswaran', 'R Vinay Kumar', 'RV Gomez', 'RA Jadeja']",43.0,26,142,141,178
433,9,2,2011,6,3,"['M Klinger', 'BB McCullum', 'PA Patel', 'DPMD Jayawardene', 'BJ Hodge']","['IK Pathan', 'M Morkel', 'UT Yadav', 'AB Agarkar', 'RE van der Merwe', 'Y Nagar']",80.0,63,14,68,117
434,29,1,2011,7,1,"['EJG Morgan', 'JH Kallis', 'G Gambhir', 'YK Pathan', 'MK Tiwary']","['DT Christian', 'DW Steyn', 'I Sharma', 'S Dhawan', 'PP Ojha', 'A Mishra']",44.0,33,52,54,67
435,29,2,2011,1,7,"['S Sohal', 'S Dhawan', 'KC Sangakkara', 'CL White', 'DT Christian', 'DB Ravi Teja', 'B Chipli', 'A Mishra']","['B Lee', 'L Balaji', 'Iqbal Abdulla', 'R Bhatia', 'YK Pathan', 'JH Kallis']",41.0,111,113,28,114
436,18,1,2011,10,0,"['SR Watson', 'R Dravid', 'AL Menaria', 'J Botha', 'LRPL Taylor', 'AM Rahane', 'STR Binny', 'DH Yagnik']","['JA Morkel', 'DE Bollinger', 'R Ashwin', 'SB Jakati', 'S Randiv']",52.0,122,98,72,55
437,18,2,2011,0,10,"['MEK Hussey', 'M Vijay', 'SK Raina']","['ND Doshi', 'J Botha', 'SR Watson', 'SK Trivedi', 'SK Warne', 'STR Binny', 'AL Menaria']",45.0,69,72,119,81
438,5,1,2011,8,9,"['AC Blizzard', 'SR Tendulkar', 'AT Rayudu', 'RG Sharma', 'TL Suman', 'KA Pollard', 'A Symonds', 'Harbhajan Singh']","['AC Thomas', 'SB Wagh', 'JE Taylor', 'Yuvraj Singh', 'R Sharma', 'JD Ryder']",56.0,5,127,12,181
439,5,2,2011,9,8,"['JD Ryder', 'GC Smith', 'MK Pandey', 'AA Jhunjhunwala', 'Yuvraj Singh', 'RV Uthappa', 'M Manhas', 'SB Wagh', 'R Sharma']","['Harbhajan Singh', 'MM Patel', 'DS Kulkarni', 'SL Malinga', 'A Symonds', 'KA Pollard']",38.0,46,37,62,129
440,21,1,2011,6,7,"['BB McCullum', 'M Klinger', 'PA Patel', 'DPMD Jayawardene', 'RA Jadeja', 'BJ Hodge', 'RV Gomez']","['B Lee', 'JD Unadkat', 'Iqbal Abdulla', 'JH Kallis', 'S Ladda', 'R Bhatia', 'YK Pathan']",36.0,17,69,28,86
441,21,2,2011,7,6,"['JH Kallis', 'EJG Morgan', 'G Gambhir', 'MK Tiwary', 'YK Pathan', 'B Lee', 'MV Boucher', 'R Bhatia']","['RP Singh', 'S Sreesanth', 'R Vinay Kumar', 'P Parameswaran', 'RV Gomez', 'RA Jadeja']",45.0,48,33,141,178
442,29,1,2011,1,3,"['S Dhawan', 'DB Ravi Teja', 'KC Sangakkara', 'JP Duminy', 'DT Christian', 'B Chipli', 'I Malhotra']","['M Morkel', 'IK Pathan', 'AM Salvi', 'AB Agarkar', 'JR Hopes', 'Y Venugopal Rao', 'Y Nagar']",45.0,110,26,98,79
443,29,2,2011,3,1,"['AJ Finch', 'NV Ojha', 'V Sehwag', 'Y Venugopal Rao', 'TR Birt', 'IK Pathan', 'JR Hopes', 'Y Nagar']","['DW Steyn', 'I Sharma', 'DT Christian', 'I Malhotra', 'A Mishra', 'B Chipli', 'JP Duminy']",36.0,9,90,55,77
444,15,1,2011,13,5,"['CH Gayle', 'TM Dilshan', 'V Kohli', 'AB de Villiers', 'SS Tiwary', 'AUK Pathan', 'M Kaif', 'A Mithun']","['P Kumar', 'RJ Harris', 'R McLaren', 'L Ablish', 'PP Chawla', 'AM Nayar']",51.0,24,138,124,168
445,15,2,2011,5,13,"['AC Gilchrist', 'PC Valthaty', 'AM Nayar', 'SE Marsh', 'KD Karthik', 'Sunny Singh', 'R McLaren', 'PP Chawla', 'RJ Harris', 'P Kumar', 'L Ablish']","['Z Khan', 'S Aravind', 'CH Gayle', 'A Mithun', 'DL Vettori', 'V Kohli']",40.0,6,94,194,171
446,8,1,2011,0,7,"['MEK Hussey', 'M Vijay', 'SK Raina', 'S Badrinath', 'JA Morkel']","['B Lee', 'Iqbal Abdulla', 'YK Pathan', 'R Bhatia', 'L Balaji', 'JD Unadkat', 'JH Kallis']",18.0,69,72,28,80
447,8,2,2011,7,0,"['EJG Morgan', 'JH Kallis', 'G Gambhir', 'MK Tiwary']","['JA Morkel', 'R Ashwin', 'DE Bollinger', 'SB Jakati', 'S Randiv']",36.0,33,52,72,158
448,40,1,2011,8,3,"['AC Blizzard', 'SR Tendulkar', 'AT Rayudu', 'RG Sharma', 'KA Pollard', 'A Symonds']","['M Morkel', 'IK Pathan', 'AB Agarkar', 'S Nadeem', 'JR Hopes']",52.0,5,127,98,79
449,40,2,2011,3,8,"['V Sehwag', 'DA Warner', 'CA Ingram', 'NV Ojha', 'Y Venugopal Rao', 'JR Hopes', 'IK Pathan', 'Y Nagar', 'AB Agarkar', 'M Morkel', 'S Nadeem']","['Harbhajan Singh', 'SL Malinga', 'MM Patel', 'DS Kulkarni', 'KA Pollard', 'A Symonds']",24.0,135,25,62,184
450,27,1,2011,5,9,"['AC Gilchrist', 'PC Valthaty', 'SE Marsh', 'KD Karthik', 'DJ Hussey', 'Mandeep Singh', 'SD Chitnis', 'RJ Harris', 'P Kumar', 'SJ Srivastava']","['B Kumar', 'SB Wagh', 'WD Parnell', 'R Sharma', 'Yuvraj Singh', 'MR Marsh', 'AA Jhunjhunwala']",35.0,6,94,27,181
451,27,2,2011,9,5,"['JD Ryder', 'MK Pandey', 'RV Uthappa', 'Yuvraj Singh', 'CJ Ferguson', 'AA Jhunjhunwala', 'MR Marsh']","['P Kumar', 'RJ Harris', 'SJ Srivastava', 'BA Bhatt', 'PC Valthaty']",43.0,46,80,124,168
452,15,1,2011,6,13,"['M Klinger', 'BB McCullum', 'PA Patel', 'DPMD Jayawardene', 'BJ Hodge', 'RA Jadeja', 'RV Gomez', 'R Vinay Kumar', 'RR Powar', 'P Parameswaran']","['Z Khan', 'S Aravind', 'CH Gayle', 'DL Vettori', 'A Mithun', 'TM Dilshan']",50.0,63,14,194,171
453,15,2,2011,13,6,"['CH Gayle', 'TM Dilshan', 'V Kohli']","['RP Singh', 'RR Powar', 'P Parameswaran', 'R Vinay Kumar', 'RA Jadeja']",83.0,24,138,141,170
454,32,1,2011,0,10,"['MEK Hussey', 'M Vijay', 'SK Raina', 'MS Dhoni', 'JA Morkel']","['AL Menaria', 'A Singh', 'SR Watson', 'J Botha', 'SK Warne', 'SK Trivedi']",58.0,69,72,18,7
455,32,2,2011,10,0,"['SR Watson', 'R Dravid', 'AM Rahane', 'LRPL Taylor', 'AL Menaria', 'J Botha', 'AS Raut', 'DH Yagnik', 'A Singh', 'SK Warne']","['JA Morkel', 'DE Bollinger', 'DJ Bravo', 'R Ashwin', 'SB Jakati', 'SK Raina']",50.0,122,98,72,55
456,27,1,2011,5,8,"['PC Valthaty', 'AC Gilchrist', 'SE Marsh', 'KD Karthik', 'DJ Hussey', 'Mandeep Singh', 'Bipul Sharma', 'RJ Harris', 'P Kumar', 'SJ Srivastava']","['Harbhajan Singh', 'SL Malinga', 'MM Patel', 'DS Kulkarni', 'RG Sharma', 'TL Suman', 'KA Pollard']",45.0,89,3,62,184
457,27,2,2011,8,5,"['AC Blizzard', 'SR Tendulkar', 'RG Sharma', 'A Symonds', 'AT Rayudu', 'TL Suman', 'KA Pollard', 'Harbhajan Singh', 'DS Kulkarni', 'MM Patel']","['P Kumar', 'BA Bhatt', 'Bipul Sharma', 'RJ Harris', 'SJ Srivastava']",34.0,5,127,124,35
458,29,1,2011,1,9,"['S Dhawan', 'DB Ravi Teja', 'KC Sangakkara', 'JP Duminy', 'DT Christian', 'B Chipli', 'S Sohal', 'A Mishra', 'DW Steyn']","['B Kumar', 'SB Wagh', 'WD Parnell', 'R Sharma', 'Yuvraj Singh', 'MR Marsh']",51.0,110,26,27,181
459,29,2,2011,9,1,"['JD Ryder', 'MK Pandey', 'SC Ganguly', 'RV Uthappa', 'Yuvraj Singh', 'CJ Ferguson']","['DW Steyn', 'I Sharma', 'PP Ojha', 'JP Duminy', 'DT Christian', 'A Mishra']",53.0,46,80,55,77
460,32,1,2011,10,13,"['SR Watson', 'R Dravid', 'J Botha', 'AM Rahane', 'LRPL Taylor', 'AL Menaria', 'AS Raut', 'DH Yagnik']","['Z Khan', 'S Aravind', 'CK Langeveldt', 'CH Gayle', 'V Kohli', 'AA Kazi']",45.0,122,98,194,171
461,32,2,2011,13,10,"['CH Gayle', 'TM Dilshan', 'V Kohli']","['SR Watson', 'J Botha', 'Pankaj Singh', 'SK Trivedi', 'SK Warne', 'LRPL Taylor', 'AL Menaria']",69.0,24,138,166,81
462,18,1,2011,0,3,"['MEK Hussey', 'M Vijay', 'SK Raina', 'S Badrinath', 'MS Dhoni']","['IK Pathan', 'AB McDonald', 'VR Aaron', 'AB Agarkar', 'S Nadeem', 'JR Hopes']",42.0,69,72,68,13
463,18,2,2011,3,0,"['NV Ojha', 'DA Warner', 'CA Ingram', 'IK Pathan', 'Y Venugopal Rao', 'JR Hopes', 'AB McDonald', 'Y Nagar']","['JA Morkel', 'DE Bollinger', 'R Ashwin', 'SK Raina', 'DJ Bravo', 'SB Jakati']",58.0,84,25,72,55
464,12,1,2011,6,5,"['BB McCullum', 'DPMD Jayawardene', 'RA Jadeja', 'BJ Hodge', 'OA Shah', 'PA Patel', 'RV Gomez', 'R Vinay Kumar']","['RJ Harris', 'BA Bhatt', 'Bipul Sharma', 'SJ Srivastava', 'PP Chawla']",75.0,17,30,139,35
465,12,2,2011,5,6,"['AC Gilchrist', 'PC Valthaty', 'SE Marsh', 'KD Karthik', 'DJ Hussey', 'Mandeep Singh']","['RP Singh', 'S Sreesanth', 'R Vinay Kumar', 'BJ Hodge', 'P Parameswaran', 'RV Gomez', 'RA Jadeja']",53.0,6,94,141,178
466,40,1,2011,1,8,"['MJ Lumb', 'KC Sangakkara', 'S Sohal', 'JP Duminy', 'B Chipli', 'DT Christian', 'S Dhawan', 'A Mishra']","['SL Malinga', 'MM Patel', 'Harbhajan Singh', 'DS Kulkarni', 'TL Suman', 'KA Pollard']",33.0,71,59,161,129
467,40,2,2011,8,1,"['SR Tendulkar', 'AC Blizzard', 'AT Rayudu', 'RG Sharma', 'A Symonds', 'TL Suman', 'KA Pollard', 'Harbhajan Singh']","['JP Duminy', 'I Sharma', 'PP Ojha', 'Anand Rajan', 'DT Christian', 'A Mishra']",31.0,121,2,81,77
468,15,1,2011,7,13,"['JH Kallis', 'EJG Morgan', 'G Gambhir', 'MK Tiwary', 'YK Pathan', 'MV Boucher']","['Z Khan', 'CK Langeveldt', 'S Aravind', 'A Mithun', 'CH Gayle', 'V Kohli']",34.0,48,33,194,49
469,15,2,2011,13,7,"['CH Gayle', 'LA Pomersbach', 'V Kohli', 'AB de Villiers', 'M Kaif', 'KB Arun Karthik', 'SS Tiwary']","['B Lee', 'JD Unadkat', 'JH Kallis', 'Iqbal Abdulla', 'L Balaji']",67.0,24,65,28,86
470,11,1,2011,5,3,"['PC Valthaty', 'AC Gilchrist', 'SE Marsh', 'DJ Hussey', 'KD Karthik', 'Mandeep Singh', 'RJ Harris', 'PP Chawla']","['IK Pathan', 'M Morkel', 'VR Aaron', 'AM Salvi', 'JR Hopes', 'S Sriram']",47.0,89,3,68,117
471,11,2,2011,3,5,"['NV Ojha', 'DA Warner', 'Y Venugopal Rao', 'S Sriram', 'IK Pathan', 'JR Hopes', 'Y Nagar', 'TR Birt', 'M Morkel', 'VR Aaron']","['P Kumar', 'RJ Harris', 'SJ Srivastava', 'PP Chawla', 'PC Valthaty']",51.0,84,25,124,168
472,12,1,2011,10,6,"['FY Fazal', 'R Dravid', 'AM Rahane', 'SR Watson', 'AL Menaria', 'PR Shah', 'JDP Oram', 'SK Warne', 'AA Chavan', 'SW Tait', 'ND Doshi']","['RP Singh', 'S Sreesanth', 'P Parameswaran', 'P Prasanth', 'BJ Hodge', 'Y Gnaneswara Rao', 'RA Jadeja']",33.0,36,98,141,178
473,12,2,2011,6,10,"['BB McCullum', 'DPMD Jayawardene', 'PA Patel', 'BJ Hodge']","['SW Tait', 'JDP Oram', 'ND Doshi', 'AA Chavan']",95.0,17,30,170,87
474,5,1,2011,9,1,"['JD Ryder', 'MK Pandey', 'SC Ganguly', 'RV Uthappa', 'Yuvraj Singh', 'M Manhas', 'CJ Ferguson', 'MR Marsh', 'WD Parnell', 'B Kumar']","['JP Duminy', 'DW Steyn', 'I Sharma', 'DT Christian', 'PP Ojha', 'A Mishra']",39.0,46,80,81,67
475,5,2,2011,1,9,"['S Sohal', 'S Dhawan', 'KC Sangakkara', 'JP Duminy', 'DT Christian', 'B Chipli']","['B Kumar', 'WD Parnell', 'R Sharma', 'MR Marsh', 'Yuvraj Singh', 'M Manhas']",65.0,111,113,27,211
476,11,1,2011,5,13,"['PC Valthaty', 'AC Gilchrist', 'SE Marsh', 'DJ Hussey']","['JJ van der Wath', 'CK Langeveldt', 'CH Gayle', 'S Aravind', 'A Mithun', 'V Kohli']",34.0,89,3,79,49
477,11,2,2011,13,5,"['CH Gayle', 'SS Tiwary', 'V Kohli', 'AB de Villiers', 'AUK Pathan', 'M Kaif', 'KB Arun Karthik', 'JJ van der Wath', 'A Mithun', 'CK Langeveldt', 'S Aravind']","['P Kumar', 'RJ Harris', 'SJ Srivastava', 'PC Valthaty', 'PP Chawla']",39.0,24,130,124,168
478,18,1,2011,0,6,"['MEK Hussey', 'M Vijay', 'SK Raina', 'S Badrinath', 'WP Saha', 'MS Dhoni', 'JA Morkel']","['RP Singh', 'S Sreesanth', 'M Muralitharan', 'BJ Hodge', 'R Vinay Kumar', 'RA Jadeja']",41.0,69,72,141,178
479,18,2,2011,6,0,"['PA Patel', 'BB McCullum', 'Y Gnaneswara Rao', 'BJ Hodge', 'RA Jadeja', 'OA Shah', 'KM Jadhav']","['R Ashwin', 'DE Bollinger', 'SB Jakati', 'DJ Bravo', 'SK Raina']",43.0,87,14,132,55
480,5,1,2011,9,7,"['JD Ryder', 'MK Pandey', 'CJ Ferguson', 'SC Ganguly', 'RV Uthappa', 'Yuvraj Singh', 'S Rana', 'WD Parnell']","['B Lee', 'YK Pathan', 'Iqbal Abdulla', 'JH Kallis', 'Shakib Al Hasan', 'R Bhatia', 'L Balaji']",31.0,46,80,28,217
481,5,2,2011,7,9,"['G Gambhir', 'SP Goswami', 'MK Tiwary', 'YK Pathan', 'R Bhatia']","['AC Thomas', 'WD Parnell', 'R Sharma', 'B Kumar', 'Yuvraj Singh', 'S Rana']",46.0,37,124,12,211
482,40,1,2011,8,10,"['TL Suman', 'SR Tendulkar', 'AT Rayudu', 'RG Sharma', 'KA Pollard', 'JEC Franklin', 'Harbhajan Singh']","['AA Chavan', 'SR Watson', 'SK Trivedi', 'SK Warne', 'J Botha', 'A Singh', 'AL Menaria']",28.0,130,127,8,191
483,40,2,2011,10,8,"['SR Watson', 'R Dravid']","['MM Patel', 'Harbhajan Singh', 'SL Malinga', 'DS Kulkarni', 'KA Pollard', 'JEC Franklin']",53.0,122,98,110,75
484,11,1,2011,1,5,"['S Dhawan', 'DB Ravi Teja', 'JP Duminy', 'CL White']","['P Kumar', 'RJ Harris', 'BA Bhatt', 'PP Chawla', 'PC Valthaty', 'R McLaren']",65.0,110,26,124,168
485,11,2,2011,5,1,"['PC Valthaty', 'AC Gilchrist', 'SE Marsh', 'KD Karthik', 'R McLaren', 'AM Nayar', 'Mandeep Singh', 'RJ Harris', 'P Kumar', 'PP Chawla', 'BA Bhatt']","['JP Duminy', 'DW Steyn', 'Anand Rajan', 'PP Ojha', 'DT Christian', 'A Mishra']",46.0,89,3,81,67
486,15,1,2011,0,13,"['NV Ojha', 'DA Warner', 'MS Wade', 'CA Ingram', 'Y Venugopal Rao', 'MEK Hussey', 'M Vijay', 'SK Raina', 'S Badrinath', 'WP Saha', 'MS Dhoni', 'DJ Bravo', 'JA Morkel', 'R Ashwin']","['AC Thomas', 'JP Faulkner', 'SS Mundhe', 'MR Marsh', 'R Sharma', 'Yuvraj Singh', 'Z Khan', 'S Aravind', 'DL Vettori', 'A Mithun', 'CH Gayle', 'V Kohli']",63.0,84,25,12,95
487,15,2,2011,13,0,"['AB de Villiers', 'V Kohli', 'CH Gayle', 'SS Tiwary']","['R Ashwin', 'DE Bollinger', 'DJ Bravo', 'SK Raina', 'JA Morkel']",45.0,4,141,132,55
488,8,1,2011,7,8,"['JH Kallis', 'SP Goswami', 'G Gambhir', 'MK Tiwary', 'YK Pathan', 'RN ten Doeschate', 'R Bhatia', 'Shakib Al Hasan']","['AN Ahmed', 'SL Malinga', 'Harbhajan Singh', 'RW Price', 'KA Pollard', 'JEC Franklin']",50.0,48,124,19,184
489,8,2,2011,8,7,"['TL Suman', 'SR Tendulkar', 'Harbhajan Singh', 'RG Sharma', 'KA Pollard', 'JEC Franklin', 'AT Rayudu']","['B Lee', 'Iqbal Abdulla', 'Shakib Al Hasan', 'L Balaji', 'YK Pathan', 'R Bhatia']",61.0,130,127,28,80
490,40,1,2011,13,0,"['MA Agarwal', 'CH Gayle', 'V Kohli', 'AB de Villiers', 'LA Pomersbach', 'SS Tiwary']","['JA Morkel', 'DE Bollinger', 'R Ashwin', 'DJ Bravo', 'SB Jakati', 'SK Raina']",51.0,66,21,72,55
491,40,2,2011,0,13,"['MEK Hussey', 'M Vijay', 'S Badrinath', 'SK Raina', 'MS Dhoni', 'JA Morkel']","['Z Khan', 'S Aravind', 'A Mithun', 'V Kohli', 'DL Vettori', 'CH Gayle']",29.0,69,72,194,171
492,40,1,2011,7,8,"['G Gambhir', 'JH Kallis', 'SP Goswami', 'MK Tiwary', 'YK Pathan', 'RN ten Doeschate', 'Shakib Al Hasan', 'R Bhatia', 'B Lee']","['DS Kulkarni', 'MM Patel', 'Harbhajan Singh', 'SL Malinga', 'JEC Franklin', 'KA Pollard']",27.0,37,52,53,129
493,40,2,2011,8,7,"['AC Blizzard', 'SR Tendulkar', 'AT Rayudu', 'JEC Franklin', 'KA Pollard', 'TL Suman', 'Harbhajan Singh']","['B Lee', 'Iqbal Abdulla', 'YK Pathan', 'Shakib Al Hasan', 'R Bhatia', 'JH Kallis', 'L Balaji']",64.0,5,127,28,80
494,18,1,2011,13,8,"['MA Agarwal', 'CH Gayle', 'V Kohli', 'AB de Villiers', 'LA Pomersbach', 'SS Tiwary']","['AN Ahmed', 'Harbhajan Singh', 'SL Malinga', 'MM Patel', 'RG Sharma', 'KA Pollard']",76.0,66,21,19,75
495,18,2,2011,8,13,"['AC Blizzard', 'SR Tendulkar', 'Harbhajan Singh', 'RG Sharma', 'JEC Franklin', 'AT Rayudu', 'KA Pollard', 'R Sathish', 'SL Malinga', 'AN Ahmed']","['Z Khan', 'S Aravind', 'CH Gayle', 'A Mithun', 'DL Vettori', 'J Syed Mohammad']",53.0,5,127,194,171
496,18,1,2011,0,13,"['MEK Hussey', 'M Vijay', 'MS Dhoni', 'SK Raina', 'JA Morkel', 'DJ Bravo']","['Z Khan', 'S Aravind', 'CH Gayle', 'J Syed Mohammad', 'DL Vettori', 'A Mithun']",62.0,69,72,194,171
497,18,2,2011,13,0,"['MA Agarwal', 'CH Gayle', 'V Kohli', 'AB de Villiers', 'LA Pomersbach', 'SS Tiwary', 'DL Vettori', 'A Mithun', 'Z Khan', 'J Syed Mohammad']","['R Ashwin', 'JA Morkel', 'DE Bollinger', 'SB Jakati', 'SK Raina', 'DJ Bravo']",48.0,66,21,132,84
498,18,1,2012,0,8,"['F du Plessis', 'M Vijay', 'SK Raina', 'DJ Bravo', 'JA Morkel', 'S Badrinath', 'MS Dhoni', 'RA Jadeja', 'R Ashwin', 'SB Jakati', 'DE Bollinger']","['SL Malinga', 'AN Ahmed', 'Harbhajan Singh', 'JEC Franklin', 'PP Ojha', 'KA Pollard']",49.0,35,72,161,21
499,18,2,2012,8,0,"['RE Levi', 'SR Tendulkar', 'RG Sharma', 'AT Rayudu', 'JEC Franklin']","['JA Morkel', 'DE Bollinger', 'R Ashwin', 'RA Jadeja', 'DJ Bravo', 'SB Jakati']",56.0,98,127,72,55
500,8,1,2012,7,3,"['BB McCullum', 'JH Kallis', 'G Gambhir', 'MK Tiwary', 'YK Pathan', 'DB Das', 'LR Shukla', 'R Bhatia', 'B Lee', 'Iqbal Abdulla']","['IK Pathan', 'RE van der Merwe', 'M Morkel', 'UT Yadav', 'GJ Maxwell', 'S Nadeem']",53.0,17,52,68,166
501,8,2,2012,3,7,"['AJ Finch', 'V Sehwag', 'IK Pathan', 'GJ Maxwell']","['B Lee', 'M de Lange', 'Iqbal Abdulla', 'JH Kallis', 'R Bhatia', 'YK Pathan']",51.0,9,142,28,121
502,40,1,2012,9,8,"['MK Pandey', 'WD Parnell', 'SC Ganguly', 'RV Uthappa', 'CJ Ferguson', 'SPD Smith', 'MN Samuels', 'B Kumar', 'M Kartik']","['SL Malinga', 'Harbhajan Singh', 'MM Patel', 'PP Ojha', 'KA Pollard', 'JEC Franklin']",36.0,72,146,161,75
503,40,2,2012,8,9,"['RE Levi', 'RG Sharma', 'AT Rayudu', 'JEC Franklin', 'KD Karthik', 'SA Yadav', 'KA Pollard', 'Harbhajan Singh', 'SL Malinga', 'PP Ojha', 'MM Patel']","['M Kartik', 'AB Dinda', 'MN Samuels', 'WD Parnell', 'R Sharma', 'B Kumar']",30.0,98,103,97,12
504,32,1,2012,10,5,"['R Dravid', 'AM Rahane', 'AL Menaria', 'BJ Hodge', 'OA Shah', 'KK Cooper']","['P Kumar', 'JP Faulkner', 'PP Chawla', 'Bipul Sharma', 'Harmeet Singh', 'PC Valthaty']",62.0,93,7,124,95
505,32,2,2012,5,10,"['AC Gilchrist', 'PC Valthaty', 'SE Marsh', 'AM Nayar', 'Mandeep Singh', 'DJ Hussey', 'Bipul Sharma', 'PP Chawla', 'JP Faulkner', 'P Kumar', 'Harmeet Singh']","['SK Trivedi', 'J Botha', 'A Singh', 'KK Cooper', 'BJ Hodge', 'AA Chavan']",48.0,6,94,160,81
506,6,1,2012,0,1,"['M Vijay', 'SK Raina', 'F du Plessis', 'S Badrinath', 'RA Jadeja', 'MS Dhoni', 'DJ Bravo', 'JA Morkel']","['Ankit Sharma', 'DW Steyn', 'MS Gony', 'DT Christian', 'DJ Harris', 'TP Sudhindra']",45.0,64,120,23,67
507,6,2,2012,1,0,"['DJ Harris', 'S Dhawan', 'PA Patel', 'CL White', 'B Chipli', 'DT Christian', 'MS Gony', 'DB Ravi Teja', 'DW Steyn', 'Ankit Sharma']","['R Ashwin', 'JA Morkel', 'DE Bollinger', 'SK Raina', 'DJ Bravo', 'RA Jadeja', 'SB Jakati', 'F du Plessis']",49.0,28,113,132,84
508,15,1,2012,13,3,"['AB McDonald', 'CA Pujara', 'V Kohli', 'AB de Villiers', 'SS Tiwary', 'MA Agarwal', 'DL Vettori', 'R Vinay Kumar', 'HV Patel']","['IK Pathan', 'DAJ Bracewell', 'M Morkel', 'UT Yadav', 'S Nadeem', 'GJ Maxwell']",49.0,3,20,68,54
509,15,2,2012,3,13,"['AJ Finch', 'V Sehwag', 'NV Ojha', 'Y Venugopal Rao', 'GJ Maxwell', 'Y Nagar', 'IK Pathan', 'DAJ Bracewell', 'M Morkel']","['Z Khan', 'R Vinay Kumar', 'AB McDonald', 'DL Vettori', 'M Muralitharan', 'HV Patel']",47.0,9,142,194,163
510,37,1,2012,9,5,"['JD Ryder', 'SC Ganguly', 'MN Samuels', 'RV Uthappa', 'CJ Ferguson', 'SPD Smith', 'MK Pandey', 'R Sharma']","['P Kumar', 'JP Faulkner', 'AD Mascarenhas', 'Bipul Sharma', 'PP Chawla', 'Harmeet Singh']",41.0,46,117,124,95
511,37,2,2012,5,9,"['AC Gilchrist', 'PC Valthaty', 'Mandeep Singh', 'AM Nayar', 'DJ Hussey', 'PP Chawla', 'AD Mascarenhas', 'Bipul Sharma', 'JP Faulkner', 'P Kumar']","['AB Dinda', 'MN Samuels', 'A Nehra', 'R Sharma', 'M Kartik', 'JD Ryder']",20.0,6,94,11,131
512,32,1,2012,10,7,"['R Dravid', 'AM Rahane', 'SP Goswami', 'AL Menaria', 'BJ Hodge', 'OA Shah', 'KK Cooper']","['B Lee', 'JH Kallis', 'SP Narine', 'Iqbal Abdulla', 'R Bhatia', 'YK Pathan']",38.0,93,7,28,89
513,32,2,2012,7,10,"['JH Kallis', 'BB McCullum', 'G Gambhir', 'DB Das', 'MK Tiwary', 'YK Pathan', 'R Bhatia', 'LR Shukla', 'B Lee', 'SP Narine', 'Iqbal Abdulla']","['AA Chavan', 'A Singh', 'KK Cooper', 'SK Trivedi', 'J Botha']",30.0,48,14,8,7
514,6,1,2012,1,8,"['PA Patel', 'S Dhawan', 'B Chipli', 'DT Christian', 'KC Sangakkara', 'CL White', 'DB Ravi Teja', 'A Mishra', 'DW Steyn', 'Ankit Sharma']","['Harbhajan Singh', 'MM Patel', 'SL Malinga', 'PP Ojha', 'KA Pollard']",45.0,87,113,62,129
515,6,2,2012,8,1,"['TL Suman', 'RE Levi', 'RG Sharma', 'AT Rayudu', 'KA Pollard', 'KD Karthik', 'JEC Franklin']","['Ankit Sharma', 'DW Steyn', 'DT Christian', 'Anand Rajan', 'A Mishra', 'CL White']",29.0,130,101,23,67
516,15,1,2012,7,13,"['JH Kallis', 'G Gambhir', 'MS Bisla', 'YK Pathan', 'MK Tiwary', 'RN ten Doeschate', 'Shakib Al Hasan', 'LR Shukla', 'B Lee', 'R Bhatia']","['Z Khan', 'R Vinay Kumar', 'HV Patel', 'M Muralitharan', 'DL Vettori', 'V Kohli']",63.0,48,36,194,163
